scuola_primaria,percentuale_primaria,scuola_secondaria_primo_grado,percentuale_secondaria_primo_grado,scuola_secondaria_secondo_grado,percentuale_secondaria_grado
112,0.4,69,0.4,143,0.5
38,0.1,30,0.2,81,0.3
0,0.0,0,0.0,0,0.0
16,0.1,10,0.1,9,0.0
21,0.1,10,0.1,8,0.0
23,0.1,12,0.1,3,0.0
13,0.1,12,0.1,3,0.0
9,0.0,8,0.0,2,0.0
8,0.0,4,0.0,4,0.0
2,0.0,1,0.0,1,0.0
1,0.0,0,0.0,0,0.0
0,0.0,4,0.0,1,0.0
2,0.0,2,0.0,1,0.0
1,0.0,1,0.0,0,0.0
1,0.0,1,0.0,1,0.0
1,0.0,0,0.0,0,0.0
1,0.0,0,0.0,0,0.0
1,0.0,0,0.0,0,0.0
9,0.0,7,0.0,6,0.0
16,0.1,10,0.1,15,0.0
22,0.1,12,0.1,20,0.1
21,0.1,18,0.1,25,0.1
18,0.1,13,0.1,18,0.1
25,0.1,16,0.1,18,0.1
32,0.1,21,0.1,22,0.1
19,0.1,14,0.1,10,0.0
4,0.0,3,0.0,5,0.0
3,0.0,1,0.0,9,0.0
26,0.1,20,0.1,28,0.1
45,0.2,39,0.2,57,0.2
12,0.0,19,0.1,38,0.1
5,0.0,5,0.0,44,0.1
1,0.0,3,0.0,35,0.1
2,0.0,3,0.0,36,0.1
6,0.0,2,0.0,17,0.1
